2013-11-06 11:01:17,365 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 59] Content 'Patentvista NL' with Id '1054' has been published.
2013-11-06 11:01:45,808 [8] ERROR umbraco.editorControls.tinymce.tinyMCEImageHelper - [Thread 44] Error resizing image in editor
System.FormatException: Input string was not in a correct format.
   at System.Number.ParseSingle(String value, NumberStyles options, NumberFormatInfo numfmt)
   at umbraco.editorControls.tinymce.tinyMCEImageHelper.DoResize(IDictionary attributes, Int32& finalWidth, Int32& finalHeight, String& newSrc)
   at umbraco.editorControls.tinymce.tinyMCEImageHelper.cleanImages(String html)
2013-11-06 11:01:45,811 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 44] Content 'Patentvista NL' with Id '1054' has been published.
2013-11-06 11:02:10,648 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 45] Content 'Patentvista NL' with Id '1054' has been published.
2013-11-06 11:04:11,681 [8] INFO  umbraco.cms.businesslogic.web.Document - [Thread 32] New document 1180
2013-11-06 11:04:24,954 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 44] Content 'Vervolgpagina' with Id '1180' has been unpublished.
2013-11-06 11:08:44,192 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 10] Content 'Nederland' with Id '1156' has been unpublished.
2013-11-06 11:08:52,932 [8] INFO  umbraco.cms.businesslogic.web.Document - [Thread 81] New document 1181
2013-11-06 11:09:13,235 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 17] Content 'Nederland' with Id '1181' has been published.
2013-11-06 11:10:12,975 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 10] Content 'Nederland' with Id '1142' has been published.
2013-11-06 11:14:19,711 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 72] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:14:30,486 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 31] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:26:59,208 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 76] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:26:59,278 [8] INFO  umbraco.presentation.publishingService - [Thread 22] test60 has been called with response: True
2013-11-06 11:27:59,137 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 91] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:27:59,199 [8] INFO  umbraco.presentation.publishingService - [Thread 98] test60 has been called with response: True
2013-11-06 11:28:27,624 [8] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 99] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:28:39,146 [8] INFO  umbraco.BusinessLogic.Log - [Thread 91] Log scrubbed.  Removed all items older than 2013-09-07 11:28:39
2013-11-06 11:28:39,148 [8] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 91] Application shutdown. Reason: ConfigurationChange
2013-11-06 11:28:46,634 [47] INFO  Umbraco.Core.PluginManager - [Thread 85] Determining hash of code files on disk
2013-11-06 11:28:46,651 [47] INFO  Umbraco.Core.PluginManager - [Thread 85] Hash determined (took 7ms)
2013-11-06 11:28:46,662 [47] INFO  Umbraco.Core.PluginManager - [Thread 85] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2013-11-06 11:28:46,776 [47] INFO  Umbraco.Core.PluginManager - [Thread 85] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 16 (took 112ms)
2013-11-06 11:28:46,805 [47] INFO  Umbraco.Core.PluginManager - [Thread 85] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2013-11-06 11:28:46,811 [47] INFO  Umbraco.Core.PluginManager - [Thread 85] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 6ms)
2013-11-06 11:28:46,814 [47] INFO  Umbraco.Core.PluginManager - [Thread 85] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2013-11-06 11:28:46,821 [47] INFO  Umbraco.Core.PluginManager - [Thread 85] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 4 (took 7ms)
2013-11-06 11:28:46,822 [47] INFO  Umbraco.Core.PluginManager - [Thread 85] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2013-11-06 11:28:46,827 [47] INFO  Umbraco.Core.PluginManager - [Thread 85] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 3 (took 5ms)
2013-11-06 11:28:46,829 [47] INFO  Umbraco.Core.PluginManager - [Thread 85] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2013-11-06 11:28:46,835 [47] INFO  Umbraco.Core.PluginManager - [Thread 85] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 5ms)
2013-11-06 11:28:46,835 [47] INFO  Umbraco.Core.PluginManager - [Thread 85] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2013-11-06 11:28:46,841 [47] INFO  Umbraco.Core.PluginManager - [Thread 85] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 5ms)
2013-11-06 11:28:47,052 [47] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 85] Initializing Examine and binding to business logic events
2013-11-06 11:28:47,503 [47] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 85] Adding examine event handlers for index providers: 3
2013-11-06 11:28:47,516 [47] INFO  Umbraco.Core.PluginManager - [Thread 85] Starting resolution types of umbraco.interfaces.IApplication
2013-11-06 11:28:47,530 [47] INFO  Umbraco.Core.PluginManager - [Thread 85] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 14ms)
2013-11-06 11:28:47,592 [47] INFO  Umbraco.Core.PluginManager - [Thread 85] Starting resolution types of umbraco.interfaces.ITree
2013-11-06 11:28:47,615 [47] INFO  Umbraco.Core.PluginManager - [Thread 85] Completed resolution of types of umbraco.interfaces.ITree, found 27 (took 22ms)
2013-11-06 11:28:48,515 [47] INFO  Umbraco.Core.PluginManager - [Thread 98] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2013-11-06 11:28:48,522 [47] INFO  Umbraco.Core.PluginManager - [Thread 98] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 17 (took 6ms)
2013-11-06 11:28:48,633 [47] INFO  Umbraco.Core.PluginManager - [Thread 98] Starting resolution types of umbraco.interfaces.IDataType
2013-11-06 11:28:48,649 [47] INFO  Umbraco.Core.PluginManager - [Thread 98] Completed resolution of types of umbraco.interfaces.IDataType, found 36 (took 15ms)
2013-11-06 11:28:48,658 [47] INFO  Umbraco.Core.PluginManager - [Thread 98] Starting resolution types of umbraco.interfaces.ITree
2013-11-06 11:28:48,675 [47] INFO  Umbraco.Core.PluginManager - [Thread 98] Completed resolution of types of umbraco.interfaces.ITree, found 36 (took 16ms)
2013-11-06 11:28:48,834 [47] INFO  umbraco.content - [Thread 98] Loading content from disk cache...
2013-11-06 11:29:17,444 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 36] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:29:17,654 [47] INFO  Umbraco.Core.PluginManager - [Thread 36] Starting resolution types of umbraco.interfaces.ICacheRefresher
2013-11-06 11:29:17,664 [47] INFO  Umbraco.Core.PluginManager - [Thread 36] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 22 (took 9ms)
2013-11-06 11:29:17,708 [47] INFO  Umbraco.Core.PluginManager - [Thread 36] Starting resolution types of umbraco.BusinessLogic.Actions.IActionHandler
2013-11-06 11:29:17,714 [47] INFO  Umbraco.Core.PluginManager - [Thread 36] Completed resolution of types of umbraco.BusinessLogic.Actions.IActionHandler, found 1 (took 5ms)
2013-11-06 11:29:17,787 [47] INFO  umbraco.presentation.publishingService - [Thread 82] test60 has been called with response: True
2013-11-06 11:30:10,362 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 37] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:30:17,072 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 22] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:30:17,136 [47] INFO  umbraco.presentation.publishingService - [Thread 50] test60 has been called with response: True
2013-11-06 11:30:28,415 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 36] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:31:17,089 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 36] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:31:17,132 [47] INFO  umbraco.presentation.publishingService - [Thread 82] test60 has been called with response: True
2013-11-06 11:32:17,067 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 91] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:32:17,136 [47] INFO  umbraco.presentation.publishingService - [Thread 68] test60 has been called with response: True
2013-11-06 11:33:17,135 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 68] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:33:17,219 [47] INFO  umbraco.presentation.publishingService - [Thread 30] test60 has been called with response: True
2013-11-06 11:34:17,159 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 92] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:34:17,253 [47] INFO  umbraco.presentation.publishingService - [Thread 36] test60 has been called with response: True
2013-11-06 11:35:17,164 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 18] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:35:17,234 [47] INFO  umbraco.presentation.publishingService - [Thread 96] test60 has been called with response: True
2013-11-06 11:35:35,665 [47] INFO  Umbraco.Web.Mvc.UmbracoPageResult - [Thread 74] Executing Umbraco RouteDefinition controller
2013-11-06 11:35:35,674 [47] INFO  Umbraco.Web.Mvc.UmbracoPageResult - [Thread 74] Finished (took 9ms)
2013-11-06 11:36:17,152 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 34] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:36:17,204 [47] INFO  umbraco.presentation.publishingService - [Thread 92] test60 has been called with response: True
2013-11-06 11:37:17,218 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 17] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:37:17,285 [47] INFO  umbraco.presentation.publishingService - [Thread 96] test60 has been called with response: True
2013-11-06 11:38:17,172 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 97] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:38:17,224 [47] INFO  umbraco.presentation.publishingService - [Thread 91] test60 has been called with response: True
2013-11-06 11:39:17,176 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 50] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:39:17,237 [47] INFO  umbraco.presentation.publishingService - [Thread 76] test60 has been called with response: True
2013-11-06 11:40:17,272 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 17] Content 'Instellingen' with Id '1173' has been published.
2013-11-06 11:40:17,350 [47] INFO  umbraco.presentation.publishingService - [Thread 76] test60 has been called with response: True
2013-11-06 11:41:17,266 [47] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 61] Content 'Instellingen' with Id '1173' has been published.
